Store #,# of McDonalds <1 mi,# of Subway <1 mi,# of Wendys <1 mi,# of Burger King <1 mi,# of Taco Bell <1 mi,# of McDonalds <0.5 mi,# of Subway <0.5 mi,# of Wendys <0.5 mi,# of Burger King <0.5 mi,# of Taco Bell <0.5 mi
37,2,3,1,0,0,1,3,1,0,0
7478,1,0,1,1,1,1,0,1,1,1
5428,1,1,1,0,0,1,1,0,0,0
745,0,2,1,1,1,0,1,1,1,0
5144,1,1,1,1,0,1,1,1,1,0
629,1,1,1,0,1,1,1,1,0,1
5861,1,1,0,0,0,1,1,0,0,0
6883,0,1,0,1,0,0,1,0,1,0
615,1,1,1,1,1,1,1,1,1,1
1800,1,0,0,1,0,1,0,0,0,0
6941,2,1,1,0,1,2,1,1,0,1
7371,0,0,1,0,0,0,0,1,0,0
7700,0,0,0,1,0,0,0,0,1,0
5797,0,2,1,1,0,0,1,0,0,0
7809,1,2,1,1,0,1,2,1,1,0
7902,0,1,1,1,0,0,1,1,0,0
60,1,3,1,1,0,1,1,1,1,0
1400,1,1,1,0,0,1,1,1,0,0
1846,1,1,1,1,0,1,1,0,0,0
301,1,2,1,0,1,1,1,1,0,1
7174,1,1,1,1,1,1,0,0,0,1
1414,1,2,1,0,1,1,0,1,0,1
6627,0,0,0,0,0,0,0,0,0,0
5598,0,1,1,0,0,0,0,1,0,0
881,1,2,1,1,1,1,0,1,1,0
6942,1,1,1,0,1,1,0,1,0,1
6400,1,1,1,1,1,1,0,1,0,1
652,0,1,1,1,0,0,1,1,1,0
6958,2,2,1,1,1,1,0,0,0,1
777,1,2,0,1,1,1,2,0,0,1
5902,1,2,0,0,0,1,1,0,0,0
6913,1,1,1,1,1,0,1,0,1,0
1229,1,1,1,1,1,1,1,1,1,1
7125,1,2,1,1,0,1,1,0,0,0
5562,1,2,1,1,0,1,1,1,1,0
173,1,1,0,2,0,1,0,0,0,0
7157,1,1,1,0,0,1,1,1,0,0
7539,1,1,1,1,0,0,1,1,1,0
1517,2,1,1,1,0,2,1,0,1,0
6905,1,1,1,1,1,1,1,0,1,1
403,1,2,1,1,1,0,2,0,0,1
7510,1,2,1,1,1,1,0,0,0,1
7806,1,2,1,0,1,1,2,0,0,1
1413,0,1,0,0,0,0,0,0,0,0
102,1,1,1,1,1,1,1,1,1,0
7446,1,2,1,1,1,1,0,1,1,1
41,0,2,0,1,0,0,1,0,1,0
1857,1,2,1,0,1,1,0,1,0,1
7061,1,1,1,0,0,1,1,1,0,0
149,0,0,0,1,0,0,0,0,1,0
6686,1,2,1,0,0,0,1,1,0,0
7145,1,0,0,0,0,1,0,0,0,0
5255,0,2,0,0,0,0,2,0,0,0
1048,1,0,0,0,1,1,0,0,0,1
1423,2,3,0,1,0,1,1,0,0,0
6290,1,1,0,0,1,1,1,0,0,1
7978,1,1,1,1,0,1,1,0,1,0
5984,1,2,1,1,1,1,1,1,1,0
7054,1,2,1,1,0,1,2,1,1,0
5390,1,1,0,1,1,0,1,0,0,1
228,1,1,1,0,0,1,1,1,0,0
1149,1,2,1,1,1,0,1,1,1,0
7177,2,1,1,2,1,1,0,1,0,1
10,1,1,1,0,1,0,1,0,0,0
6122,1,1,0,0,1,1,1,0,0,1
5561,1,1,0,1,0,0,1,0,1,0
8250,1,1,0,1,0,0,0,0,0,0
7758,0,1,0,0,0,0,0,0,0,0
6758,1,1,0,1,1,1,0,0,1,1
8230,0,0,0,0,0,0,0,0,0,0
7042,1,1,1,0,0,1,1,1,0,0
1963,0,1,1,1,0,0,0,1,1,0
6909,1,0,1,1,0,1,0,0,0,0
6963,1,0,0,0,0,1,0,0,0,0
7221,1,1,1,0,0,1,0,0,0,0
1916,1,1,1,1,1,1,1,1,1,0
6778,1,3,1,0,0,0,1,0,0,0
498,1,2,0,1,0,1,1,0,0,0
143,1,2,1,1,1,1,2,1,1,1
6745,1,2,0,1,0,1,1,0,0,0
7269,0,2,0,2,0,0,2,0,2,0
7936,1,1,0,0,0,1,1,0,0,0
7455,1,1,2,0,0,0,1,1,0,0
8239,0,1,1,0,0,0,1,1,0,0
7112,0,1,0,0,0,0,1,0,0,0
7259,1,0,0,0,0,1,0,0,0,0
708,0,1,0,1,1,0,0,0,0,1
864,1,3,1,1,0,1,1,1,1,0
7198,1,1,1,1,1,0,0,0,0,0
1150,1,1,1,0,0,1,0,0,0,0
7063,0,0,0,1,0,0,0,0,1,0
7982,0,1,1,1,0,0,1,0,0,0
7810,1,2,1,0,1,0,1,1,0,0
6584,1,2,0,1,1,0,1,0,1,1
7122,1,1,0,0,0,0,0,0,0,0
6230,1,1,1,0,0,1,0,0,0,0
5684,1,1,1,0,0,1,0,1,0,0
5679,1,2,1,1,0,0,0,1,0,0
1030,1,2,1,1,2,0,1,1,1,1
7241,1,2,1,0,0,0,1,1,0,0
7270,1,1,0,0,0,1,1,0,0,0
7142,1,1,0,1,0,1,1,0,1,0
5028,1,1,1,1,1,1,1,1,1,1
1187,0,1,0,0,0,0,1,0,0,0
1333,1,1,0,0,0,0,1,0,0,0
1458,1,1,0,1,0,1,1,0,1,0
926,0,2,0,0,0,0,1,0,0,0
6930,1,1,0,1,0,1,1,0,1,0
233,1,1,0,0,0,1,0,0,0,0
6239,1,1,1,1,1,1,1,1,1,1
5818,1,1,1,0,1,1,1,1,0,1
7452,1,2,0,0,1,0,2,0,0,0
1630,1,1,1,1,1,0,1,1,0,0
7160,0,1,0,0,0,0,0,0,0,0
6492,0,2,0,0,0,0,1,0,0,0
6874,1,1,0,0,0,1,1,0,0,0
6812,1,1,1,0,1,1,1,1,0,1
6901,0,0,2,0,1,0,0,1,0,1
5556,1,3,1,1,1,1,1,1,1,0
813,0,1,0,0,0,0,0,0,0,0
6809,2,0,2,0,0,2,0,0,0,0
744,1,1,0,1,1,1,1,0,1,1
6563,1,1,0,1,1,1,0,0,1,1
5780,1,1,0,0,0,1,1,0,0,0
5020,1,3,1,0,0,0,1,1,0,0
6904,1,2,1,0,1,1,1,0,0,1
423,1,1,0,1,0,1,0,0,1,0
7272,1,1,1,1,0,1,1,1,1,0
5479,1,1,1,0,0,1,1,1,0,0
7818,1,2,0,0,0,1,2,0,0,0
5227,1,1,0,0,0,1,1,0,0,0
6628,1,2,0,0,0,0,1,0,0,0
7548,3,2,1,0,1,1,1,1,0,0
7240,1,2,0,1,0,0,1,0,1,0
280,1,1,1,0,1,0,0,0,0,0
1018,1,1,0,1,0,1,1,0,1,0
7053,1,2,1,0,1,1,2,1,0,1
5985,0,1,0,0,0,0,1,0,0,0
5463,1,1,0,0,0,1,0,0,0,0
1246,1,3,1,1,0,1,2,1,1,0
5183,1,0,0,1,1,0,0,0,0,0
1903,1,1,0,1,0,1,0,0,0,0
779,0,1,1,1,1,0,0,1,0,0
5356,1,2,1,0,0,1,1,1,0,0
7118,1,1,1,0,0,1,1,1,0,0
6234,1,2,1,0,1,1,2,0,0,1
5970,1,1,1,1,0,1,1,1,1,0
1397,2,4,1,1,0,1,1,1,1,0
7314,1,1,1,0,0,0,0,0,0,0
7859,1,1,0,1,1,1,1,0,0,1
6927,2,3,1,0,1,1,1,1,0,1
1204,1,4,1,1,2,1,1,0,1,1
7439,0,2,1,1,1,0,2,1,1,1
7546,1,1,1,0,0,1,1,0,0,0
6319,1,2,1,1,1,1,1,0,1,0
1012,1,1,0,1,1,1,1,0,1,1
7013,1,1,0,0,0,1,1,0,0,0
5534,1,2,1,0,1,1,2,1,0,1
6506,1,2,1,1,1,1,1,1,1,0
5969,0,2,1,1,0,0,2,1,0,0
1922,1,1,1,0,0,1,1,1,0,0
1933,1,1,1,0,1,1,1,1,0,1
5132,1,3,1,0,1,1,2,1,0,1
5517,1,1,0,1,0,0,1,0,1,0
7203,1,2,1,1,0,1,2,1,1,0
7308,1,0,0,0,0,1,0,0,0,0
211,1,1,0,1,0,0,1,0,0,0
15,1,1,1,0,1,1,1,0,0,1
6774,1,1,1,0,0,1,1,1,0,0
5179,1,1,0,1,0,1,1,0,0,0
6023,1,1,1,1,0,1,1,1,1,0
7813,0,1,1,1,0,0,1,1,0,0
7344,1,2,0,1,0,1,2,0,1,0
8012,1,1,0,0,1,1,1,0,0,1
1743,1,1,1,1,0,1,1,1,1,0
5259,1,1,0,0,0,1,1,0,0,0
6744,1,2,1,0,1,1,0,0,0,1
8433,1,1,1,0,0,1,1,1,0,0
121,1,1,1,0,1,1,1,1,0,1
1037,0,3,1,1,1,0,1,1,1,1
6494,0,1,0,0,0,0,1,0,0,0
7798,2,2,1,0,0,2,1,0,0,0
5518,0,1,0,0,0,0,0,0,0,0
7547,0,0,0,0,0,0,0,0,0,0
