Store #,# of McDonalds <1 mi,# of Subway <1 mi,# of Wendys <1 mi,# of Burger King <1 mi,# of Taco Bell <1 mi,# of McDonalds <0.5 mi,# of Subway <0.5 mi,# of Wendys <0.5 mi,# of Burger King <0.5 mi,# of Taco Bell <0.5 mi
7218,1,0,1,1,0,1,0,1,1,0
1319,1,1,1,0,0,1,1,1,0,0
6621,1,1,1,1,1,1,1,0,1,1
1998,1,2,1,1,0,1,1,1,1,0
7236,1,2,1,1,1,1,0,0,0,1
7361,1,1,0,1,0,1,1,0,1,0
1298,0,0,0,1,0,0,0,0,1,0
1079,1,2,1,1,1,1,1,1,1,1
54,1,4,1,0,1,1,1,0,0,1
7487,0,0,0,0,0,0,0,0,0,0
6800,1,1,1,1,0,1,1,1,1,0
7560,1,2,0,1,0,0,1,0,0,0
6055,1,1,1,1,1,1,1,1,1,0
857,3,2,1,0,0,2,2,1,0,0
159,1,2,1,1,1,0,1,0,1,1
6885,1,2,1,1,0,0,0,0,1,0
5456,1,2,0,1,1,0,0,0,0,1
5608,1,1,1,1,0,1,0,1,1,0
6029,1,1,1,1,0,1,1,1,1,0
186,1,2,1,1,1,1,1,0,0,1
6959,1,1,0,1,0,1,0,0,1,0
604,1,0,1,1,0,0,0,1,1,0
7121,1,2,0,1,0,1,1,0,1,0
5689,1,1,0,1,0,0,1,0,0,0
6815,1,1,0,1,0,1,0,0,1,0
299,1,1,1,0,1,1,1,1,0,1
6585,0,1,0,1,0,0,1,0,1,0
6664,1,2,1,1,0,1,1,0,0,0
6833,0,2,1,1,0,0,1,0,1,0
6334,1,1,0,0,0,0,0,0,0,0
148,1,1,0,0,0,1,1,0,0,0
1015,2,3,1,1,1,1,1,1,1,1
133,1,1,0,0,1,1,1,0,0,1
7052,1,1,1,1,1,1,1,1,1,1
354,1,1,0,0,1,1,0,0,0,1
1668,0,0,0,0,0,0,0,0,0,0
7467,1,1,0,1,0,1,1,0,1,0
250,1,3,1,2,1,1,2,0,1,1
7373,0,0,1,1,1,0,0,0,1,1
7175,1,1,1,0,1,1,0,0,0,0
1821,1,1,1,1,1,0,1,1,0,0
7561,2,2,1,1,0,0,1,1,0,0
7815,2,2,2,1,0,1,0,1,0,0
1850,1,2,1,1,1,1,1,1,1,1
6524,1,2,1,1,2,1,1,1,1,1
74,0,1,0,1,0,0,0,0,0,0
1261,0,1,0,0,0,0,0,0,0,0
6472,1,2,1,0,1,0,1,1,0,1
6934,0,1,0,0,0,0,0,0,0,0
619,1,1,1,1,1,1,1,1,0,1
1837,1,2,1,1,0,1,1,1,1,0
738,1,1,0,0,0,0,0,0,0,0
8014,1,1,0,0,1,1,0,0,0,1
1220,2,1,0,0,1,1,1,0,0,0
7065,0,1,0,0,0,0,1,0,0,0
1142,2,1,1,1,0,0,0,0,0,0
5531,1,1,0,1,1,1,1,0,1,1
6485,1,1,0,1,0,1,1,0,1,0
194,1,1,0,0,1,1,1,0,0,1
8266,2,2,0,1,0,2,1,0,1,0
1839,1,1,1,1,1,0,0,0,0,0
201,1,2,0,1,1,1,1,0,1,1
6643,1,3,1,1,1,0,1,1,0,1
5540,1,1,1,0,0,0,1,0,0,0
7206,0,2,0,0,0,0,0,0,0,0
7230,1,2,0,1,0,1,2,0,0,0
6663,1,1,1,1,0,1,0,1,0,0
1900,0,1,0,1,0,0,0,0,1,0
1997,1,1,0,1,0,1,0,0,0,0
1664,0,1,1,1,1,0,0,0,1,1
7028,0,3,0,1,0,0,3,0,1,0
6609,1,1,0,1,1,1,1,0,1,1
5054,1,2,0,1,0,1,0,0,0,0
936,2,2,1,1,0,1,1,0,1,0
6977,1,2,0,0,0,0,0,0,0,0
6601,0,1,1,1,0,0,1,0,0,0
5777,0,1,0,1,0,0,1,0,1,0
6947,0,1,0,0,0,0,0,0,0,0
988,1,1,0,1,0,1,0,0,1,0
6875,1,2,1,1,0,1,1,1,1,0
6060,1,1,0,1,0,1,1,0,1,0
1020,1,1,1,0,0,1,1,1,0,0
609,1,3,0,1,1,1,1,0,1,0
7062,1,2,1,1,0,0,2,0,1,0
7577,1,1,1,1,0,1,1,1,1,0
1841,1,1,1,0,0,0,0,1,0,0
8048,1,0,1,0,0,1,0,1,0,0
1453,1,1,1,1,0,0,1,1,1,0
6369,1,2,1,1,1,1,1,1,1,1
1201,0,2,1,0,1,0,2,1,0,0
8041,1,1,1,0,1,1,1,1,0,1
5641,1,3,1,1,0,1,2,1,1,0
8264,1,2,0,0,0,1,2,0,0,0
7303,1,0,1,0,0,1,0,1,0,0
631,1,1,1,1,0,1,1,0,0,0
5215,1,1,0,1,0,1,1,0,1,0
6811,0,1,1,1,0,0,1,1,0,0
6620,0,0,1,0,0,0,0,1,0,0
1510,1,2,1,0,1,1,2,1,0,1
1218,1,1,0,1,0,1,1,0,1,0
212,1,2,1,0,0,1,1,1,0,0
7495,1,3,1,2,0,1,0,0,1,0
984,1,1,0,1,1,1,1,0,1,1
1979,1,1,1,0,1,1,1,1,0,1
5450,3,2,1,0,1,2,1,0,0,0
1858,0,0,0,0,0,0,0,0,0,0
53,1,1,0,1,1,1,0,0,1,1
111,0,0,1,0,1,0,0,0,0,1
1957,1,2,1,1,1,1,1,1,1,1
5461,0,2,0,1,0,0,2,0,1,0
1831,1,1,1,1,0,1,1,1,1,0
1820,2,1,0,1,1,2,1,0,1,1
5383,0,2,1,1,0,0,0,1,0,0
6201,1,1,1,0,0,1,1,1,0,0
7804,1,1,3,1,1,1,1,1,0,1
8237,0,0,1,0,0,0,0,0,0,0
7750,1,3,1,1,1,1,2,1,0,1
6929,1,2,0,1,0,1,1,0,1,0
118,0,1,1,0,1,0,0,1,0,1
5754,1,2,1,1,1,1,2,0,1,1
5719,1,2,1,0,0,0,0,0,0,0
6725,3,2,1,2,0,0,1,1,1,0
7716,1,1,0,1,0,1,0,0,0,0
445,0,1,0,0,0,0,1,0,0,0
6595,0,1,0,0,0,0,0,0,0,0
6531,1,0,1,1,1,1,0,1,1,1
7101,0,1,0,1,0,0,0,0,0,0
7469,0,1,1,1,1,0,1,1,1,1
739,0,1,0,0,0,0,0,0,0,0
7066,0,0,0,0,0,0,0,0,0,0
7317,1,2,1,1,0,1,2,1,1,0
6975,1,2,1,1,1,0,1,1,1,0
7343,2,2,1,1,0,1,1,0,1,0
5308,1,1,0,0,0,1,0,0,0,0
8027,1,1,1,0,1,0,1,1,0,1
1108,1,2,1,1,0,1,1,1,0,0
6382,1,2,0,1,0,1,1,0,1,0
1346,0,2,1,0,0,0,0,1,0,0
5440,1,1,1,1,1,1,1,1,1,0
7396,1,2,0,0,0,1,2,0,0,0
7219,1,1,1,1,0,0,0,1,0,0
888,1,1,1,1,1,1,1,0,1,1
6477,1,0,0,0,0,1,0,0,0,0
6807,1,1,1,0,1,1,1,1,0,1
6367,1,1,0,0,1,1,1,0,0,1
6911,1,1,1,0,1,1,1,1,0,1
8280,2,1,0,1,0,1,1,0,1,0
343,0,1,0,1,1,0,1,0,1,1
6857,1,1,1,1,1,1,1,1,1,1
1807,1,2,1,0,0,1,2,0,0,0
1623,2,3,1,2,0,1,2,0,0,0
6626,1,1,0,0,0,1,1,0,0,0
6869,1,1,1,0,0,1,1,0,0,0
6906,1,2,0,1,0,1,1,0,1,0
5959,1,1,0,1,1,1,0,0,0,0
6973,1,1,0,1,0,1,0,0,0,0
268,2,6,1,2,1,0,3,1,0,1
7384,1,1,1,1,1,1,1,1,1,1
7146,1,1,1,1,0,1,1,1,0,0
7414,1,0,0,1,0,0,0,0,1,0
6481,1,2,1,0,0,1,2,1,0,0
7871,0,0,0,0,0,0,0,0,0,0
6375,1,0,0,0,0,1,0,0,0,0
1384,1,1,1,1,0,1,1,1,1,0
130,1,1,1,0,1,0,0,1,0,0
7289,1,1,0,0,0,0,0,0,0,0
6144,1,1,0,1,0,1,0,0,1,0
6134,1,1,0,0,0,1,1,0,0,0
5110,1,2,1,1,0,1,1,1,1,0
6611,1,3,1,1,0,0,2,1,0,0
5664,0,0,0,1,0,0,0,0,1,0
7100,1,3,1,0,1,1,3,0,0,1
6886,1,1,0,1,0,1,1,0,1,0
630,1,1,0,1,1,1,1,0,1,1
6198,1,1,0,0,0,1,0,0,0,0
938,1,2,0,1,1,1,2,0,1,1
5447,1,1,0,0,0,1,1,0,0,0
5301,1,1,1,1,1,1,1,0,1,1
1473,2,1,0,2,1,1,1,0,1,0
7513,1,2,1,1,1,0,1,1,1,1
1390,1,3,1,1,1,1,1,0,0,0
8390,0,1,0,0,0,0,1,0,0,0
7961,1,1,0,0,0,1,0,0,0,0
896,1,1,1,1,1,1,0,1,0,1
5075,1,1,0,0,1,1,1,0,0,1
7826,1,0,1,0,1,0,0,1,0,1
5003,1,2,0,1,1,1,2,0,1,1
1128,1,3,1,1,1,1,2,1,1,1
7372,0,2,0,0,0,0,1,0,0,0
5687,1,1,1,0,0,1,1,0,0,0
25,0,3,0,1,1,0,2,0,1,1
7870,0,1,0,0,0,0,1,0,0,0
974,0,1,0,1,0,0,1,0,1,0
1192,0,1,0,0,0,0,0,0,0,0
5012,1,1,1,1,0,0,0,1,1,0
5187,1,1,1,0,1,1,1,1,0,1
937,1,3,1,1,1,1,1,1,0,1
248,1,1,0,0,1,1,0,0,0,1
571,1,1,0,2,0,1,1,0,1,0
195,1,2,1,1,0,1,1,1,1,0
7591,1,1,1,0,0,0,0,1,0,0
38,1,1,1,1,0,1,1,1,0,0
6727,1,1,0,1,1,1,1,0,0,0
7883,1,1,1,1,0,1,1,1,1,0
1090,1,1,0,1,1,0,0,0,0,0
1951,1,1,1,1,0,1,1,1,1,0
7702,1,1,0,1,0,1,1,0,1,0
7357,1,1,0,0,0,1,1,0,0,0
1852,1,1,0,0,0,1,1,0,0,0
8317,0,1,0,1,0,0,1,0,1,0
5958,0,1,0,1,0,0,1,0,0,0
944,2,1,0,1,1,1,1,0,1,1
7278,1,1,0,1,0,0,0,0,1,0
6343,1,3,0,1,1,0,1,0,1,1
8011,1,1,0,0,0,1,1,0,0,0
7477,1,2,0,0,1,1,2,0,0,0
7397,1,2,0,1,0,1,1,0,1,0
7550,1,2,1,0,1,1,0,0,0,1
1424,0,1,1,0,0,0,1,1,0,0
7579,1,2,1,0,0,1,2,1,0,0
879,1,1,1,0,2,1,0,0,0,0
6647,1,1,1,0,0,1,1,1,0,0
7425,0,1,0,0,0,0,1,0,0,0
6371,2,1,1,0,0,2,1,1,0,0
5553,0,1,1,0,1,0,1,1,0,1
7107,0,3,1,1,0,0,3,1,1,0
5596,1,3,1,1,0,1,2,1,0,0
1662,1,1,0,1,0,0,0,0,1,0
929,1,1,1,0,1,1,1,1,0,1
624,2,1,1,0,0,0,1,0,0,0
1735,0,2,1,0,1,0,1,1,0,1
7382,1,1,0,1,1,0,1,0,1,1
7959,0,0,0,1,0,0,0,0,0,0
7593,0,2,1,1,1,0,1,1,1,1
6892,1,1,0,1,0,1,1,0,1,0
1619,1,1,0,0,0,1,1,0,0,0
1816,0,1,0,1,0,0,0,0,0,0
5140,1,1,1,1,0,1,0,0,1,0
6896,1,2,1,0,0,1,0,1,0,0
6405,1,2,1,1,1,1,2,1,1,1
5029,0,2,1,1,1,0,0,1,1,0
6998,1,1,0,1,0,1,1,0,1,0
286,1,2,1,1,1,1,1,1,1,1
5915,0,1,0,0,0,0,1,0,0,0
6865,0,2,1,1,0,0,1,0,0,0
151,1,2,0,0,1,0,1,0,0,1
295,1,1,0,1,0,1,0,0,1,0
6443,1,1,0,0,0,1,1,0,0,0
1151,1,1,0,1,1,1,0,0,0,1
6128,1,1,1,1,1,1,1,1,1,1
7116,2,1,0,1,0,0,0,0,0,0
7143,1,1,1,0,0,1,1,1,0,0
1265,1,1,0,0,1,1,1,0,0,1
5281,1,2,0,0,1,1,0,0,0,1
7816,0,2,0,0,0,0,0,0,0,0
8001,1,1,1,2,0,1,1,1,2,0
8329,1,1,1,0,0,1,0,0,0,0
6995,1,1,0,0,0,0,0,0,0,0
7374,1,1,0,0,1,1,1,0,0,1
6806,0,1,1,0,1,0,1,0,0,1
947,2,1,1,1,1,2,0,1,1,0
137,1,1,1,0,0,1,1,0,0,0
7585,1,2,0,1,0,1,0,0,1,0
7033,0,1,0,1,0,0,0,0,1,0
6839,0,1,0,0,1,0,1,0,0,1
225,1,1,1,1,0,1,1,1,1,0
817,1,1,0,1,1,0,0,0,0,1
957,1,2,1,1,2,1,1,1,1,0
837,1,2,0,1,1,1,1,0,1,1
7450,1,2,1,1,1,1,1,1,0,1
1406,1,0,0,0,0,1,0,0,0,0
6280,0,1,1,0,0,0,0,1,0,0
5945,1,1,0,1,1,1,1,0,1,1
874,0,1,1,0,1,0,1,0,0,0
6644,0,1,1,0,0,0,1,0,0,0
1071,1,0,0,0,1,1,0,0,0,1
7191,1,2,1,1,0,1,1,1,1,0
306,1,1,0,2,1,1,1,0,2,1
5680,1,1,1,0,0,1,1,1,0,0
6315,1,1,0,1,0,0,1,0,0,0
6936,1,1,0,0,0,1,1,0,0,0
1252,0,0,0,2,0,0,0,0,0,0
6974,1,2,1,0,1,0,1,1,0,1
4,1,2,1,1,0,0,1,1,1,0
6349,1,2,0,1,1,1,2,0,1,1
7444,1,1,1,0,1,1,1,1,0,1
5044,1,3,1,1,1,0,0,0,0,0
123,1,0,0,0,0,1,0,0,0,0
6651,1,1,0,1,1,0,1,0,1,1
315,1,0,0,0,0,1,0,0,0,0
6888,0,0,0,0,0,0,0,0,0,0
6884,1,1,0,1,0,1,1,0,1,0
5875,2,2,1,1,1,1,0,1,1,0
7857,1,1,0,0,0,1,1,0,0,0
1157,1,0,1,0,1,1,0,1,0,1
7369,0,1,1,1,1,0,0,1,0,1
1044,1,1,1,1,1,1,1,0,1,1
611,1,2,1,0,1,1,1,0,0,0
8062,1,2,1,1,1,1,2,1,1,1
1411,1,0,0,0,0,1,0,0,0,0
7473,1,2,1,1,1,1,2,1,1,1
1948,0,1,1,1,0,0,0,1,1,0
7895,0,2,1,1,0,0,1,1,0,0
7345,1,1,1,1,0,1,0,0,0,0
5035,1,1,0,0,0,1,1,0,0,0
668,1,2,1,1,1,1,1,1,1,1
905,1,2,1,1,0,0,1,1,0,0
7031,1,1,1,1,0,0,1,0,0,0
6711,2,1,0,1,0,2,0,0,1,0
1986,1,1,1,0,0,0,1,1,0,0
1008,0,1,0,0,0,0,1,0,0,0
14,1,2,1,1,1,1,1,1,1,1
693,1,2,0,1,0,1,0,0,0,0
7864,1,1,0,0,0,1,1,0,0,0
7500,1,2,1,0,0,1,1,1,0,0
1385,1,1,1,1,0,1,1,1,0,0
1180,1,0,0,1,0,1,0,0,1,0
5015,2,0,0,0,0,1,0,0,0,0
1138,2,2,1,0,1,0,0,1,0,1
6796,1,4,1,0,0,0,1,0,0,0
7109,1,2,1,1,0,1,1,0,1,0
1445,1,1,1,1,1,1,0,1,1,0
6130,1,1,1,0,1,1,1,1,0,1
7043,1,1,1,0,0,0,1,0,0,0
1480,2,2,1,1,0,1,1,0,0,0
8020,1,2,0,1,1,1,1,0,0,1
1022,0,1,0,1,1,0,0,0,1,1
7027,0,1,0,0,0,0,0,0,0,0
5588,1,1,0,0,0,1,0,0,0,0
1956,1,1,1,1,1,1,0,1,1,1
7115,0,9,0,1,1,0,3,0,0,1
7472,3,3,1,1,1,1,2,1,1,0
5683,1,0,1,1,0,0,0,1,1,0
1980,1,1,0,0,0,1,1,0,0,0
7035,1,2,1,1,0,1,1,0,1,0
577,1,3,1,1,0,0,2,1,0,0
264,3,1,0,1,0,2,0,0,1,0
919,0,1,0,0,0,0,1,0,0,0
7587,1,1,1,1,0,1,1,1,1,0
6847,1,0,1,0,1,1,0,0,0,1
8259,0,1,1,0,0,0,1,0,0,0
7939,0,1,0,1,0,0,1,0,1,0
1911,1,1,0,1,0,1,1,0,1,0
7899,2,0,1,0,0,2,0,1,0,0
7820,1,2,1,1,1,0,1,0,0,0
1737,0,0,0,1,1,0,0,0,0,0
7346,1,3,0,1,1,1,2,0,1,1
6870,1,0,1,0,0,0,0,0,0,0
796,1,1,0,1,1,1,1,0,1,1
7912,0,0,1,0,0,0,0,1,0,0
6734,1,1,0,2,1,1,0,0,0,0
5424,1,1,0,0,0,1,1,0,0,0
6566,0,1,1,0,1,0,1,1,0,1
442,2,5,1,0,0,1,3,0,0,0
6439,1,2,1,1,1,0,1,0,0,0
5249,1,1,1,0,1,1,1,1,0,1
997,1,1,0,1,1,0,1,0,1,1
71,2,3,2,2,1,1,1,0,0,0
5135,1,1,0,1,1,1,1,0,1,0
1130,0,0,0,0,0,0,0,0,0,0
1824,1,2,1,1,1,1,0,0,0,0
1072,0,1,0,1,0,0,1,0,1,0
1491,1,1,1,0,1,0,1,1,0,0
1712,1,1,1,0,0,1,1,1,0,0
263,1,2,1,0,1,0,2,1,0,1
1256,1,0,1,1,0,1,0,1,1,0
6009,1,1,1,1,0,0,0,1,1,0
128,1,6,1,3,1,1,4,1,2,1
99,1,1,0,1,0,0,0,0,0,0
7863,0,1,1,0,1,0,1,1,0,1
602,0,2,0,0,0,0,1,0,0,0
109,1,1,0,0,0,1,0,0,0,0
5359,1,1,0,0,0,1,1,0,0,0
1999,1,1,0,0,0,1,1,0,0,0
167,1,2,1,1,1,1,1,1,1,1
5787,2,1,1,1,1,1,1,1,1,1
6819,1,1,1,0,0,0,1,1,0,0
370,1,2,1,1,1,1,1,1,1,1
6469,1,1,1,1,1,1,0,1,1,1
877,1,1,1,1,1,1,0,0,1,0
7460,1,1,1,1,0,1,1,0,1,0
1253,1,1,0,0,1,1,1,0,0,1
6504,0,1,1,1,0,0,0,0,1,0
7479,0,1,1,1,1,0,1,1,1,1
252,1,1,1,1,1,1,1,1,1,1
5361,1,1,1,0,0,1,0,0,0,0
828,1,2,1,1,1,0,1,0,1,1
6282,1,3,0,1,0,1,1,0,1,0
6810,0,1,0,0,1,0,1,0,0,0
7137,1,1,0,0,1,1,1,0,0,1
6339,1,2,1,0,0,1,1,1,0,0
7517,1,1,0,0,1,1,1,0,0,1
5457,1,2,1,0,0,0,0,0,0,0
7451,0,1,0,0,0,0,1,0,0,0
7852,1,2,0,1,0,1,1,0,1,0
7023,1,1,1,0,0,0,1,0,0,0
7443,1,1,1,1,0,0,0,0,1,0
7573,1,2,1,1,0,1,1,1,0,0
1103,1,2,0,1,0,1,1,0,0,0
5609,1,1,1,1,1,1,1,1,1,1
6445,1,2,1,0,0,1,2,1,0,0
6756,0,1,1,1,0,0,1,0,0,0
1647,1,2,0,1,0,0,1,0,1,0
635,1,4,1,0,0,1,3,0,0,0
313,1,1,1,0,1,1,1,1,0,1
1036,1,1,1,1,1,1,0,1,0,1
7307,0,0,0,0,0,0,0,0,0,0
6547,1,1,0,0,0,1,1,0,0,0
6827,0,0,0,0,0,0,0,0,0,0
278,1,2,1,1,1,1,0,0,1,0
7181,1,1,0,0,0,1,1,0,0,0
5690,1,1,0,0,0,0,0,0,0,0
226,1,1,1,2,1,1,1,0,2,0
6854,1,1,1,1,0,0,0,0,1,0
5370,1,0,1,1,0,0,0,0,1,0
5060,1,1,0,1,0,0,1,0,1,0
1988,0,1,0,0,0,0,0,0,0,0
1031,1,3,0,1,0,0,1,0,0,0
7819,1,3,1,0,1,1,1,1,0,1
481,0,1,0,1,0,0,1,0,1,0
6410,1,1,1,0,0,0,0,1,0,0
1883,0,1,1,1,0,0,1,1,1,0
1991,1,1,1,1,1,0,0,1,1,0
5824,1,1,1,0,1,1,1,1,0,1
7256,1,1,0,1,1,1,1,0,1,1
7511,0,1,0,0,0,0,1,0,0,0
1488,1,3,1,1,0,1,0,1,0,0
6902,1,2,1,1,0,1,0,1,1,0
6075,1,1,0,0,0,1,1,0,0,0
1901,1,2,0,1,0,1,0,0,0,0
8275,1,1,1,0,0,1,1,1,0,0
5708,0,1,0,0,1,0,1,0,0,1
5522,1,1,0,1,1,1,1,0,1,1
5453,1,1,0,1,0,0,0,0,1,0
7301,1,2,1,1,0,1,2,0,0,0
7814,1,1,0,1,0,1,1,0,1,0
6066,0,0,1,0,0,0,0,1,0,0
6850,1,2,1,1,0,1,1,1,0,0
7461,2,1,1,0,0,1,0,1,0,0
7117,1,2,0,1,0,1,2,0,1,0
1838,1,2,1,1,1,1,2,1,1,1
5940,0,0,0,0,0,0,0,0,0,0
1225,1,1,1,1,0,1,1,0,1,0
404,0,1,0,1,0,0,1,0,1,0
8035,1,1,1,0,1,0,1,1,0,1
7515,2,0,0,1,0,1,0,0,0,0
7048,1,1,0,0,0,1,1,0,0,0
245,1,1,1,1,1,1,1,1,0,0
6910,1,2,1,1,1,1,0,0,0,0
6097,1,1,0,0,0,1,0,0,0,0
5944,1,1,0,1,0,1,0,0,1,0
5662,1,2,1,1,1,1,1,1,1,1
86,1,1,1,1,1,1,1,1,0,1
253,1,2,0,1,1,1,2,0,1,1
1864,1,1,1,0,1,1,1,1,0,1
6882,2,2,1,0,1,1,2,1,0,1
7889,0,1,1,1,0,0,1,1,1,0
1470,1,1,0,1,0,1,1,0,1,0
5446,1,1,0,0,1,1,1,0,0,1
7730,1,2,1,0,0,1,2,0,0,0
6826,1,1,0,1,1,1,1,0,1,1
5423,1,1,0,1,1,1,1,0,1,1
30,2,1,0,0,1,0,1,0,0,1
6401,1,1,0,0,0,1,1,0,0,0
826,0,1,1,0,1,0,1,1,0,1
537,1,1,1,0,1,0,1,1,0,1
833,1,2,1,0,1,1,1,0,0,1
1665,0,3,0,1,1,0,1,0,1,1
1797,1,0,1,1,0,1,0,0,1,0
1433,1,1,1,1,1,1,0,1,0,1
1802,1,1,1,0,1,1,0,1,0,1
7506,1,1,0,1,1,1,1,0,1,1
7128,1,1,1,1,0,1,1,1,1,0
469,1,1,0,1,1,1,1,0,1,1
7037,1,0,1,0,0,1,0,1,0,0
219,2,2,0,0,0,1,0,0,0,0
6004,1,0,0,0,0,0,0,0,0,0
5512,1,1,1,1,1,0,1,0,1,1
6199,1,1,1,0,1,1,1,1,0,1
1098,1,1,1,0,0,1,1,1,0,0
1479,2,3,1,1,0,1,2,1,1,0
5232,1,1,1,1,1,0,1,0,0,0
8026,1,1,1,1,1,1,1,1,1,1
7802,1,2,0,1,1,1,2,0,1,1
7874,1,2,1,0,0,1,0,0,0,0
7403,1,2,1,0,0,1,2,0,0,0
59,1,1,1,1,0,0,1,1,0,0
585,1,1,1,0,0,1,1,0,0,0
8302,1,1,1,0,0,1,1,1,0,0
1674,1,2,0,0,1,0,1,0,0,1
5581,1,2,1,1,0,1,1,0,1,0
1300,2,1,1,1,1,1,1,1,0,1
7073,2,0,1,0,0,2,0,1,0,0
7231,0,1,0,0,1,0,1,0,0,1
6013,0,1,0,0,0,0,0,0,0,0
5497,1,2,0,1,0,1,2,0,1,0
1644,1,1,0,1,0,0,0,0,1,0
238,1,3,1,2,1,0,1,0,2,1
6671,0,1,0,1,1,0,1,0,0,0
5722,1,2,0,1,0,0,1,0,1,0
7873,0,0,0,0,0,0,0,0,0,0
7077,1,1,1,0,0,1,1,1,0,0
1667,0,2,1,0,0,0,1,1,0,0
7258,1,2,0,1,1,1,2,0,1,1
7796,1,1,1,0,0,1,1,1,0,0
1313,1,2,1,0,1,1,1,1,0,1
5310,0,1,0,0,0,0,1,0,0,0
6305,0,1,1,0,0,0,0,0,0,0
7563,1,1,1,1,0,1,1,1,1,0
6446,1,1,0,1,0,1,1,0,1,0
913,1,2,1,0,1,0,2,1,0,1
5123,0,0,0,0,0,0,0,0,0,0
1636,1,2,1,1,1,1,0,1,1,1
5891,1,3,1,0,1,1,2,1,0,1
1691,0,1,0,1,0,0,0,0,1,0
1532,1,1,0,0,0,1,1,0,0,0
9002,1,2,0,0,0,0,1,0,0,0
995,1,1,1,0,1,1,1,0,0,1
7427,0,1,0,0,0,0,1,0,0,0
6858,2,1,1,1,1,1,1,1,1,1
7835,0,2,1,1,0,0,1,0,1,0
6846,0,0,1,0,0,0,0,1,0,0
230,1,1,0,1,0,1,1,0,1,0
8019,1,1,0,1,0,1,1,0,1,0
6333,1,1,1,1,0,0,0,0,0,0
269,2,1,1,1,1,2,1,1,1,1
5966,1,2,1,0,0,1,1,0,0,0
6971,1,1,0,1,0,1,1,0,1,0
911,1,1,1,0,0,1,1,1,0,0
991,1,1,0,0,0,1,1,0,0,0
7701,0,5,1,1,1,0,3,1,0,1
8040,1,1,1,0,1,0,1,1,0,1
853,1,1,0,1,1,1,1,0,0,0
7029,1,1,0,0,0,1,1,0,0,0
1984,1,0,1,0,1,1,0,0,0,0
8396,0,1,0,0,0,0,1,0,0,0
1320,0,1,1,0,0,0,0,0,0,0
6526,1,1,0,1,0,1,1,0,1,0
7095,0,2,1,1,0,0,0,0,0,0
1441,1,3,1,1,0,1,2,1,0,0
6832,1,1,1,0,0,1,0,0,0,0
1069,1,3,0,1,1,0,2,0,1,1
5097,1,2,1,0,1,1,2,1,0,1
1628,1,1,1,1,0,1,1,1,1,0
5105,0,1,0,0,0,0,0,0,0,0
6565,1,1,1,0,0,1,1,1,0,0
7881,1,2,1,1,1,0,1,0,1,1
1211,1,1,1,1,1,0,1,0,1,1
7096,2,1,1,0,1,2,1,0,0,1
7114,1,2,1,1,1,1,1,1,1,1
6795,1,1,0,0,0,0,0,0,0,0
7861,0,2,0,0,1,0,2,0,0,0
6645,1,2,1,1,1,1,2,1,1,1
7470,2,2,1,0,1,0,0,0,0,0
6987,1,1,1,1,1,1,1,1,1,1
1833,1,3,0,1,0,1,1,0,1,0
5248,1,1,0,2,0,0,1,0,1,0
674,0,1,1,0,1,0,1,1,0,1
1830,1,2,1,0,1,1,0,1,0,0
6949,0,1,1,1,0,0,1,1,1,0
682,1,1,0,1,1,1,1,0,1,1
7009,1,1,1,1,0,1,1,1,1,0
677,1,2,0,0,1,1,0,0,0,1
5789,1,1,1,0,0,1,1,1,0,0
45,1,2,1,1,1,1,1,1,0,1
7266,0,1,0,1,0,0,1,0,0,0
6384,2,1,0,0,0,0,1,0,0,0
5832,1,1,1,1,1,1,0,1,1,1
6420,1,1,1,1,1,0,1,0,1,1
6271,1,2,1,1,1,1,1,1,1,1
7078,2,2,0,1,0,2,2,0,1,0
279,1,2,1,1,0,1,2,1,1,0
7389,0,1,0,0,0,0,0,0,0,0
7908,1,1,1,0,0,1,1,1,0,0
7803,1,1,1,0,1,1,1,1,0,1
8029,2,2,0,0,0,1,1,0,0,0
7260,1,2,1,1,0,1,2,0,1,0
6783,1,1,0,1,1,1,0,0,0,1
126,1,2,1,1,0,1,1,1,1,0
1061,1,2,1,1,1,1,1,1,1,1
1715,1,1,0,0,0,1,1,0,0,0
8005,1,1,0,1,1,1,1,0,1,1
34,1,1,1,1,1,1,1,1,0,1
6897,1,2,1,0,0,1,1,1,0,0
8047,1,0,1,0,1,1,0,1,0,1
7754,1,1,1,1,0,1,1,1,1,0
1516,0,0,0,0,0,0,0,0,0,0
1309,0,0,0,0,0,0,0,0,0,0
251,1,3,1,0,0,1,0,1,0,0
6247,1,2,1,0,1,0,0,1,0,1
530,1,1,1,1,1,1,1,1,1,1
6740,0,1,1,0,0,0,1,1,0,0
7794,1,1,0,1,1,1,1,0,0,0
1011,2,3,0,0,0,1,2,0,0,0
1925,0,1,0,1,0,0,1,0,0,0
8316,1,1,0,1,0,0,0,0,1,0
7974,2,2,0,0,0,2,1,0,0,0
1114,0,1,1,1,0,0,1,1,0,0
7039,0,1,0,0,0,0,1,0,0,0
7326,1,0,1,1,0,1,0,1,0,0
1968,2,1,1,1,0,1,0,1,1,0
47,1,1,1,1,1,1,1,1,0,1
7875,1,2,0,1,1,0,0,0,1,1
13,1,2,0,1,1,1,1,0,0,0
7528,1,0,0,0,0,1,0,0,0,0
5924,2,3,0,1,0,0,0,0,0,0
239,1,1,1,0,1,1,1,1,0,1
