rest_dma_code,fiscal_year,fiscal_week_number,OnAir_TY,Equal_TRPS_CM_TY
504,2015,15,0,31
504,2015,16,0,11.6
504,2015,17,0,0
504,2015,18,1,54
504,2015,19,1,146.8
504,2015,20,1,143.3
504,2015,21,1,147.2
504,2015,22,0,85.3
504,2015,23,0,31
504,2015,24,0,11.6
504,2015,25,0,0
504,2015,26,0,0
504,2015,27,1,54
504,2015,28,1,146.8
504,2015,29,1,143.3
504,2015,30,1,147.2
504,2015,31,1,139.3
504,2015,32,1,177.8
504,2015,33,1,154.9
504,2015,34,1,147.2
504,2015,35,0,85.3
504,2015,36,0,31
504,2015,37,0,11.6
504,2015,38,0,0
504,2015,39,0,0
504,2015,40,1,54
504,2015,41,1,146.8
504,2015,42,1,143.3
504,2015,43,1,147.4
504,2015,44,1,105.6
504,2015,45,1,126
504,2015,46,1,171.7
504,2015,47,1,156.5
504,2015,48,0,127.4
504,2015,49,0,39.8
504,2015,50,0,20
504,2015,51,0,0
504,2015,52,0,0
504,2016,1,0,0
504,2016,2,0,0
504,2016,3,0,0
504,2016,4,0,0
504,2016,5,0,0
504,2016,6,0,0
504,2016,7,0,0
504,2016,8,0,0
504,2016,9,1,53.3
504,2016,10,1,142
504,2016,11,1,130.6
504,2016,12,1,125.7
504,2016,13,1,113.8
504,2016,14,1,155.9
504,2016,15,1,130.9
504,2016,16,1,119.9
504,2016,17,1,74.5
504,2016,18,1,97.4
504,2016,19,1,153.3
504,2016,20,1,125.9
504,2016,21,1,114.3
504,2016,22,0,58.7
504,2016,23,0,21.3
504,2016,24,0,7
504,2016,25,0,0
504,2016,26,0,0
504,2016,27,1,52
504,2016,28,1,138.8
504,2016,29,1,127.8
504,2016,30,1,122.9
504,2016,31,1,115.5
504,2016,32,1,162.4
504,2016,33,1,135.3
504,2016,34,1,122.9
504,2016,35,1,115.8
504,2016,36,1,162.9
504,2016,37,1,135.4
504,2016,38,1,123.3
504,2016,39,1,120
504,2016,40,1,173.2
504,2016,41,1,145.4
504,2016,42,1,133.6
504,2016,43,0,72.2
504,2016,44,1,82.5
504,2016,45,1,152.2
504,2016,46,1,132.4
504,2016,47,1,127
504,2016,48,0,66
504,2016,49,0,24.5
504,2016,50,0,7.9
504,2016,51,0,0
504,2016,52,0,0
504,2017,1,0,0
504,2017,2,0,0
504,2017,3,0,0
504,2017,4,0,0
504,2017,5,1,39.8
504,2017,6,1,114.5
504,2017,7,1,125.7
504,2017,8,1,135.2
504,2017,9,1,149.4
504,2017,10,1,206.8
504,2017,11,1,199.2
504,2017,12,1,188.5
504,2017,13,1,177.3
504,2017,14,1,203.1
504,2017,15,1,152
504,2017,16,1,124.7
504,2017,17,1,67.2
504,2017,18,1,93.5
504,2017,19,1,171.9
504,2017,20,1,148.1
504,2017,21,1,138.3
504,2017,22,0,71.2
504,2017,23,0,26.2
504,2017,24,0,8.4
504,2017,25,0,0
504,2017,26,0,0
504,2017,27,1,60.3
504,2017,28,1,159
504,2017,29,1,146.6
504,2017,30,1,147.9
504,2017,31,1,135.6
504,2017,32,1,184.6
504,2017,33,1,178.4
504,2017,34,1,203.6
504,2017,35,1,194.2
504,2017,36,1,244
504,2017,37,1,192.3
504,2017,38,1,159.7
504,2017,39,1,136.7
504,2017,40,1,178.1
504,2017,41,1,146.6
504,2017,42,1,127.8
504,2017,43,1,125.5
504,2017,44,1,176.2
504,2017,45,1,159
504,2017,46,1,133.9
504,2017,47,1,69.5
504,2017,48,1,65.8
504,2017,49,0,89
504,2017,50,0,20.4
504,2017,51,0,20.4
504,2017,52,0,0
504,2018,1,0,0
504,2018,2,0,0
504,2018,3,0,0
504,2018,4,0,0
504,2018,5,0,0
504,2018,6,0,0
504,2018,7,1,54.5
504,2018,8,1,159.3
504,2018,9,1,168.6
504,2018,10,1,186.7
504,2018,11,1,198.3
504,2018,12,1,186.3
504,2018,13,1,176.3
504,2018,14,1,161.4
504,2018,15,1,161.4
504,2018,16,1,143.8
504,2018,17,1,129
504,2018,18,1,122.3
504,2018,19,1,148.7
504,2018,20,1,136.5
504,2018,21,1,128.7
504,2018,22,0,78.9
504,2018,23,1,72.8
504,2018,24,1,136.6
504,2018,25,1,126.4
504,2018,26,1,128.7
504,2018,27,0,82.5
504,2018,28,1,40.9
504,2018,29,1,50.4
504,2018,30,1,44.7
504,2018,31,1,51.1
504,2018,32,1,80.1
504,2018,33,1,130.3
504,2018,34,1,130.1
504,2018,35,1,131.7
504,2018,36,0,82.9
504,2018,37,1,67.5
504,2018,38,1,123.6
504,2018,39,1,126
504,2018,40,1,136.3
504,2018,41,1,113.3
504,2018,42,0,76.8
504,2018,43,1,72.1
504,2018,44,1,146.1
504,2018,45,1,144.8
504,2018,46,1,144.9
504,2018,47,0,83.3
504,2018,48,0,30.7
504,2018,49,0,10.8
504,2018,50,0,0
504,2018,51,0,0
504,2018,52,0,0
505,2015,1,0,50.8
505,2015,2,0,25.4
505,2015,3,0,0
505,2015,4,1,51
505,2015,5,1,148.8
505,2015,6,1,163.5
505,2015,7,1,178.2
505,2015,8,0,126.2
505,2015,9,0,42.4
505,2015,10,1,82.9
505,2015,11,1,171.8
505,2015,12,1,170.2
505,2015,13,1,176.8
505,2015,14,1,153.7
505,2015,15,1,179.8
505,2015,16,1,176.2
505,2015,17,1,182.2
505,2015,18,1,199.8
505,2015,19,1,227.8
505,2015,20,1,205.2
505,2015,21,1,191.8
505,2015,22,0,117
505,2015,23,1,90.1
505,2015,24,1,159.6
505,2015,25,1,162.9
505,2015,26,1,183.7
505,2015,27,1,202
505,2015,28,1,231.9
505,2015,29,1,209.7
505,2015,30,1,196.8
505,2015,31,1,189.7
505,2015,32,1,233.5
505,2015,33,1,209.4
505,2015,34,1,201.8
505,2015,35,0,124.6
505,2015,36,1,92.6
505,2015,37,1,160.8
505,2015,38,1,162.9
505,2015,39,1,183.7
505,2015,40,1,208.2
505,2015,41,1,250.6
505,2015,42,1,231.5
505,2015,43,1,222.1
505,2015,44,1,166.6
505,2015,45,1,179.2
505,2015,46,1,246.9
505,2015,47,1,231
505,2015,48,1,206.2
505,2015,49,1,162.4
505,2015,50,1,237.2
505,2015,51,1,230.1
505,2015,52,1,244.2
505,2016,1,1,122.9
505,2016,2,1,162.3
505,2016,3,1,152.2
505,2016,4,1,163.7
505,2016,5,1,160.3
505,2016,6,1,168.5
505,2016,7,1,165.9
505,2016,8,1,163.7
505,2016,9,1,190.8
505,2016,10,1,242.7
505,2016,11,1,218.1
505,2016,12,1,202.3
505,2016,13,1,179.9
505,2016,14,1,205.7
505,2016,15,1,174.3
505,2016,16,1,157.7
505,2016,17,1,102
505,2016,18,1,120.5
505,2016,19,1,205
505,2016,20,1,198.3
505,2016,21,1,200.8
505,2016,22,1,160.5
505,2016,23,1,144.5
505,2016,24,1,161.7
505,2016,25,1,163.1
505,2016,26,1,181.1
505,2016,27,1,226.1
505,2016,28,1,259.4
505,2016,29,1,237.1
505,2016,30,1,215.4
505,2016,31,1,196.4
505,2016,32,1,224.6
505,2016,33,1,190.3
505,2016,34,1,171.4
505,2016,35,1,161.2
505,2016,36,1,206.6
505,2016,37,1,176.1
505,2016,38,1,161.8
505,2016,39,1,157.4
505,2016,40,1,212.4
505,2016,41,1,181.7
505,2016,42,1,168.4
505,2016,43,0,96.4
505,2016,44,1,101.2
505,2016,45,1,184.8
505,2016,46,1,174.2
505,2016,47,1,192.9
505,2016,48,1,176.6
505,2016,49,1,222.5
505,2016,50,1,220.2
505,2016,51,1,224.7
505,2016,52,1,174.9
505,2017,1,1,118.7
505,2017,2,1,147.4
505,2017,3,1,140.4
505,2017,4,1,145.5
505,2017,5,1,144
505,2017,6,1,162.3
505,2017,7,1,156.3
505,2017,8,1,152.7
505,2017,9,1,178
505,2017,10,1,258.2
505,2017,11,1,255.4
505,2017,12,1,238.7
505,2017,13,1,207.9
505,2017,14,1,232.5
505,2017,15,1,176.1
505,2017,16,1,149.7
505,2017,17,1,85.6
505,2017,18,1,118.4
505,2017,19,1,230.6
505,2017,20,1,212.3
505,2017,21,1,211
505,2017,22,1,141.2
505,2017,23,1,126.5
505,2017,24,1,163.9
505,2017,25,1,142
505,2017,26,1,137.4
505,2017,27,1,176.5
505,2017,28,1,247.5
505,2017,29,1,228.6
505,2017,30,1,212.4
505,2017,31,1,178.4
505,2017,32,1,223
505,2017,33,1,211.4
505,2017,34,1,237.1
505,2017,35,1,226.2
505,2017,36,1,273.7
505,2017,37,1,220.1
505,2017,38,1,185.9
505,2017,39,1,173.5
505,2017,40,1,237.4
505,2017,41,1,210.8
505,2017,42,1,197
505,2017,43,1,178
505,2017,44,1,201.2
505,2017,45,1,185.3
505,2017,46,1,153.8
505,2017,47,1,90.1
505,2017,48,1,101.7
505,2017,49,1,155.9
505,2017,50,1,93.3
505,2017,51,1,100.9
505,2017,52,0,60
505,2018,1,0,22
505,2018,2,0,15.3
505,2018,3,1,37
505,2018,4,1,97.1
505,2018,5,1,102.2
505,2018,6,1,104.6
505,2018,7,1,120.2
505,2018,8,1,186.9
505,2018,9,1,181.5
505,2018,10,1,189.5
505,2018,11,1,206.3
505,2018,12,1,196.9
505,2018,13,1,188.6
505,2018,14,1,180.9
505,2018,15,1,187
505,2018,16,1,176.2
505,2018,17,1,160.7
505,2018,18,1,164.9
505,2018,19,1,218.8
505,2018,20,1,211.6
505,2018,21,1,207.6
505,2018,22,0,140.1
505,2018,23,1,117.2
505,2018,24,1,205.4
505,2018,25,1,194.5
505,2018,26,1,203.6
505,2018,27,0,141.9
505,2018,28,1,111.8
505,2018,29,1,198
505,2018,30,1,194
505,2018,31,1,192
505,2018,32,1,188
505,2018,33,1,225
505,2018,34,1,220.3
505,2018,35,1,220.6
505,2018,36,1,170.5
505,2018,37,1,140
505,2018,38,1,161
505,2018,39,1,155.4
505,2018,40,1,151.5
505,2018,41,1,122.1
505,2018,42,0,84.6
505,2018,43,1,80.9
505,2018,44,1,161.9
505,2018,45,1,161.9
505,2018,46,1,158.3
505,2018,47,0,93.1
505,2018,48,1,70.1
505,2018,49,1,109.1
505,2018,50,1,107.3
505,2018,51,1,126.1
505,2018,52,0,140.4
507,2015,1,0,39.4
507,2015,2,0,16.9
507,2015,3,0,0
507,2015,4,0,0
507,2015,5,0,0
507,2015,6,1,67.5
507,2015,7,1,185.5
507,2015,8,1,185.3
507,2015,9,1,188.1
507,2015,10,1,163.4
507,2015,11,1,193.3
507,2015,12,1,163.9
507,2015,13,1,154
507,2015,14,1,156.4
507,2015,15,1,217.4
507,2015,16,1,197.2
507,2015,17,1,187.9
507,2015,18,1,163.4
507,2015,19,1,193.3
507,2015,20,1,163.9
507,2015,21,1,154
507,2015,22,0,89.1
507,2015,23,0,32.4
507,2015,24,0,12.1
507,2015,25,0,0
507,2015,26,0,0
507,2015,27,1,56.8
507,2015,28,1,154
507,2015,29,1,149.9
507,2015,30,1,154
507,2015,31,1,145.9
507,2015,32,1,186.4
507,2015,33,1,162
507,2015,34,1,154
507,2015,35,0,89.1
507,2015,36,1,89.4
507,2015,37,1,177.4
507,2015,38,1,182.3
507,2015,39,1,196.4
507,2015,40,1,187.5
507,2015,41,1,199.5
507,2015,42,1,169.8
507,2015,43,1,154.2
507,2015,44,1,110.4
507,2015,45,1,132.1
507,2015,46,1,180
507,2015,47,1,163.7
507,2015,48,0,133.1
507,2015,49,0,41.5
507,2015,50,0,20.9
507,2015,51,0,0
507,2015,52,0,0
507,2016,1,0,62.5
507,2016,2,0,15.6
507,2016,3,0,15.6
507,2016,4,0,0
507,2016,5,1,61.8
507,2016,6,1,174
507,2016,7,1,182.4
507,2016,8,1,185.2
507,2016,9,1,162.6
507,2016,10,1,188.6
507,2016,11,1,151
507,2016,12,1,131.6
507,2016,13,1,119.2
507,2016,14,1,163.1
507,2016,15,1,136.9
507,2016,16,1,125.5
507,2016,17,1,78
507,2016,18,1,102.3
507,2016,19,1,161
507,2016,20,1,132.1
507,2016,21,1,119.9
507,2016,22,0,61.1
507,2016,23,0,22.3
507,2016,24,0,7.3
507,2016,25,0,0
507,2016,26,0,0
507,2016,27,1,54.5
507,2016,28,1,145.5
507,2016,29,1,134.1
507,2016,30,1,128.9
507,2016,31,1,121.2
507,2016,32,1,170.3
507,2016,33,1,142
507,2016,34,1,128.9
507,2016,35,1,121.5
507,2016,36,1,170.8
507,2016,37,1,142.1
507,2016,38,1,129.2
507,2016,39,1,125.5
507,2016,40,1,180.4
507,2016,41,1,151.1
507,2016,42,1,138.4
507,2016,43,0,74.3
507,2016,44,1,85.7
507,2016,45,1,159.5
507,2016,46,1,138.5
507,2016,47,1,132.9
507,2016,48,0,69.2
507,2016,49,0,25.7
507,2016,50,0,8.3
507,2016,51,0,0
507,2016,52,0,0
507,2017,1,0,0
507,2017,2,0,0
507,2017,3,0,0
507,2017,4,0,0
507,2017,5,1,38.5
507,2017,6,1,111
507,2017,7,1,122.1
507,2017,8,1,131.6
507,2017,9,1,158.9
507,2017,10,1,240.6
507,2017,11,1,239.2
507,2017,12,1,234.9
507,2017,13,1,211
507,2017,14,1,210.3
507,2017,15,1,154.3
507,2017,16,1,121.3
507,2017,17,0,65.2
507,2017,18,1,91
507,2017,19,1,167.3
507,2017,20,1,143.8
507,2017,21,1,134.5
507,2017,22,0,69.1
507,2017,23,1,46.9
507,2017,24,1,72.6
507,2017,25,1,70.1
507,2017,26,1,70.4
507,2017,27,1,109.9
507,2017,28,1,170.7
507,2017,29,1,150.7
507,2017,30,1,143.6
507,2017,31,1,131.9
507,2017,32,1,179.6
507,2017,33,1,173.5
507,2017,34,1,197.8
507,2017,35,1,188.8
507,2017,36,1,237.4
507,2017,37,1,187
507,2017,38,1,155.1
507,2017,39,1,133.2
507,2017,40,1,173.7
507,2017,41,1,142.9
507,2017,42,1,124.7
507,2017,43,1,122.4
507,2017,44,1,172.2
507,2017,45,1,155.5
507,2017,46,1,130.8
507,2017,47,1,67.6
507,2017,48,1,64.4
507,2017,49,0,87.3
507,2017,50,0,20
507,2017,51,0,20
507,2017,52,0,0
507,2018,1,0,0
507,2018,2,0,0
507,2018,3,1,28
507,2018,4,1,81.8
507,2018,5,1,90.3
507,2018,6,1,100.2
507,2018,7,1,124.1
507,2018,8,1,174.1
507,2018,9,1,170.3
507,2018,10,1,174.7
507,2018,11,1,184
507,2018,12,1,171.4
507,2018,13,1,162.6
507,2018,14,1,149.2
507,2018,15,1,147.4
507,2018,16,1,131.3
507,2018,17,1,119.2
507,2018,18,1,113
507,2018,19,1,136
507,2018,20,1,124.9
507,2018,21,1,118.9
507,2018,22,0,73.5
507,2018,23,1,67.9
507,2018,24,1,127.5
507,2018,25,1,117.9
507,2018,26,1,120.5
507,2018,27,0,77.3
507,2018,28,1,66.4
507,2018,29,1,129.2
507,2018,30,1,132.3
507,2018,31,1,147.2
507,2018,32,1,145.3
507,2018,33,1,143.8
507,2018,34,1,130.7
507,2018,35,1,121.6
507,2018,36,0,77
507,2018,37,1,61.9
507,2018,38,1,112.4
507,2018,39,1,114.1
507,2018,40,1,124.6
507,2018,41,1,105.2
507,2018,42,0,71.8
507,2018,43,1,65.8
507,2018,44,1,131.6
507,2018,45,1,130.4
507,2018,46,1,132.2
507,2018,47,0,76.9
507,2018,48,0,28.2
507,2018,49,0,10.1
507,2018,50,0,0
507,2018,51,0,0
507,2018,52,0,0
508,2015,1,1,99.1
508,2015,2,1,173.8
508,2015,3,1,149.5
508,2015,4,1,170.3
508,2015,5,0,113.5
508,2015,6,1,96.9
508,2015,7,1,175.9
508,2015,8,1,154.1
508,2015,9,1,164.7
508,2015,10,1,182.4
508,2015,11,1,223.1
508,2015,12,1,198.7
508,2015,13,1,185.3
508,2015,14,1,153.3
508,2015,15,1,173.5
508,2015,16,1,166.4
508,2015,17,1,174.8
508,2015,18,1,197.5
508,2015,19,1,228.7
508,2015,20,1,201.9
508,2015,21,1,185.3
508,2015,22,0,107.3
508,2015,23,1,85
508,2015,24,1,149.1
508,2015,25,1,151.8
508,2015,26,1,174.8
508,2015,27,1,197.5
508,2015,28,1,228.7
508,2015,29,1,201.9
508,2015,30,1,185.3
508,2015,31,1,175.6
508,2015,32,1,224.3
508,2015,33,1,195
508,2015,34,1,185.3
508,2015,35,0,107.3
508,2015,36,1,85
508,2015,37,1,149.1
508,2015,38,1,151.8
508,2015,39,1,174.8
508,2015,40,1,214
508,2015,41,1,278.2
508,2015,42,1,259.7
508,2015,43,1,251.5
508,2015,44,1,182.2
508,2015,45,1,192.1
508,2015,46,1,274.8
508,2015,47,1,255.3
508,2015,48,1,226.9
508,2015,49,1,172.1
508,2015,50,1,246.8
508,2015,51,1,218.6
508,2015,52,1,227.8
508,2016,1,1,105.8
508,2016,2,1,169.3
508,2016,3,1,137.8
508,2016,4,1,147.1
508,2016,5,1,179
508,2016,6,1,247
508,2016,7,1,223
508,2016,8,1,220.2
508,2016,9,1,235
508,2016,10,1,278.1
508,2016,11,1,245.7
508,2016,12,1,223.3
508,2016,13,1,192.2
508,2016,14,1,212.7
508,2016,15,1,173
508,2016,16,1,151
508,2016,17,1,94.2
508,2016,18,1,123.2
508,2016,19,1,210
508,2016,20,1,207.7
508,2016,21,1,206.6
508,2016,22,1,175.2
508,2016,23,1,177.5
508,2016,24,1,183
508,2016,25,1,182
508,2016,26,1,197.6
508,2016,27,1,248.5
508,2016,28,1,277.1
508,2016,29,1,248.8
508,2016,30,1,220.1
508,2016,31,1,194.4
508,2016,32,1,221.5
508,2016,33,1,179.2
508,2016,34,1,155.2
508,2016,35,1,145.9
508,2016,36,1,205.8
508,2016,37,1,171.2
508,2016,38,1,155.5
508,2016,39,1,150.7
508,2016,40,1,217.7
508,2016,41,1,182.9
508,2016,42,1,167.7
508,2016,43,0,90.3
508,2016,44,1,103.7
508,2016,45,1,192
508,2016,46,1,180.5
508,2016,47,1,197.4
508,2016,48,1,173.2
508,2016,49,1,219.4
508,2016,50,1,198.1
508,2016,51,1,197.1
508,2016,52,1,155.2
508,2017,1,1,115.5
508,2017,2,1,156.4
508,2017,3,1,138.5
508,2017,4,1,121.4
508,2017,5,1,120.9
508,2017,6,1,149.1
508,2017,7,1,146.6
508,2017,8,1,146.4
508,2017,9,1,173.8
508,2017,10,1,259.7
508,2017,11,1,257.1
508,2017,12,1,250.8
508,2017,13,1,226.8
508,2017,14,1,231.1
508,2017,15,1,170.1
508,2017,16,1,134.7
508,2017,17,1,72.5
508,2017,18,1,117.5
508,2017,19,1,234.7
508,2017,20,1,217.4
508,2017,21,1,214.7
508,2017,22,1,141.8
508,2017,23,1,130.8
508,2017,24,1,179
508,2017,25,1,172.8
508,2017,26,1,201.8
508,2017,27,1,245.2
508,2017,28,1,260.7
508,2017,29,1,230.4
508,2017,30,1,206.6
508,2017,31,1,192.2
508,2017,32,1,243
508,2017,33,1,236.1
508,2017,34,1,262.7
508,2017,35,1,241.9
508,2017,36,1,274.5
508,2017,37,1,213.3
508,2017,38,1,172.9
508,2017,39,1,149
508,2017,40,1,195.1
508,2017,41,1,160.8
508,2017,42,1,139.4
508,2017,43,1,136.4
508,2017,44,1,202.4
508,2017,45,1,206.5
508,2017,46,1,184.6
508,2017,47,1,119.1
508,2017,48,1,105.8
508,2017,49,1,125.9
508,2017,50,1,73.4
508,2017,51,0,60.5
508,2017,52,0,15
508,2018,1,0,7.5
508,2018,2,0,0
508,2018,3,0,0
508,2018,4,1,43
508,2018,5,1,123.8
508,2018,6,1,124
508,2018,7,1,157.2
508,2018,8,1,215.7
508,2018,9,1,207.2
508,2018,10,1,216.1
508,2018,11,1,232.8
508,2018,12,1,220
508,2018,13,1,207.6
508,2018,14,1,187.8
508,2018,15,1,188.9
508,2018,16,1,168.1
508,2018,17,1,151.1
508,2018,18,1,158
508,2018,19,1,220.7
508,2018,20,1,214.6
508,2018,21,1,213
508,2018,22,0,138.5
508,2018,23,1,116
508,2018,24,1,213.9
508,2018,25,1,201.7
508,2018,26,1,210.8
508,2018,27,0,142
508,2018,28,1,108.7
508,2018,29,1,198.8
508,2018,30,1,189.2
508,2018,31,1,195.2
508,2018,32,1,199.2
508,2018,33,1,229
508,2018,34,1,218.9
508,2018,35,1,198.4
508,2018,36,0,111.2
508,2018,37,1,101.9
508,2018,38,1,191.8
508,2018,39,1,201.4
508,2018,40,1,203.7
508,2018,41,1,146
508,2018,42,0,96.2
508,2018,43,1,84.1
508,2018,44,1,171.5
508,2018,45,1,169.4
508,2018,46,1,167.9
508,2018,47,0,96.4
508,2018,48,1,73.6
508,2018,49,1,121.9
508,2018,50,1,104.6
508,2018,51,1,104.6
508,2018,52,1,104.3
509,2015,1,1,131.4
509,2015,2,1,218
509,2015,3,1,199.8
509,2015,4,1,216.6
509,2015,5,0,144.6
509,2015,6,1,116.6
509,2015,7,1,210.6
509,2015,8,1,199.1
509,2015,9,1,215.9
509,2015,10,1,210.7
509,2015,11,1,235.9
509,2015,12,1,209.9
509,2015,13,1,190.8
509,2015,14,1,186.1
509,2015,15,1,229.9
509,2015,16,1,217.1
509,2015,17,1,216.6
509,2015,18,1,211.1
509,2015,19,1,236.1
509,2015,20,1,209.9
509,2015,21,1,190.8
509,2015,22,0,119.6
509,2015,23,1,109.2
509,2015,24,1,209.1
509,2015,25,1,202.7
509,2015,26,1,219.5
509,2015,27,1,212.7
509,2015,28,1,231.9
509,2015,29,1,200.6
509,2015,30,1,188.4
509,2015,31,1,179
509,2015,32,1,208.7
509,2015,33,1,179.5
509,2015,34,1,170.3
509,2015,35,1,137.6
509,2015,36,1,172.2
509,2015,37,1,223.7
509,2015,38,1,219.6
509,2015,39,1,219.5
509,2015,40,1,213.2
509,2015,41,1,233.6
509,2015,42,1,203
509,2015,43,1,191.5
509,2015,44,1,137.5
509,2015,45,1,150.3
509,2015,46,1,226.6
509,2015,47,1,207.8
509,2015,48,1,225
509,2015,49,1,241.1
509,2015,50,1,287.9
509,2015,51,1,279.5
509,2015,52,1,277.6
509,2016,1,1,155.3
509,2016,2,1,224.3
509,2016,3,1,205.7
509,2016,4,1,216.6
509,2016,5,1,211.1
509,2016,6,1,238.4
509,2016,7,1,221.4
509,2016,8,1,215.9
509,2016,9,1,225.5
